label,train,val,test,total
vehicle,201196,25069,25017,251282
blank,91100,11355,11449,113904
impala,23620,2975,2923,29518
monkeybaboon,13040,1626,1645,16311
warthog,9121,1160,1158,11439
zebra,8940,1130,1161,11231
wildebeest,7204,934,962,9100
elephant,5441,627,622,6690
kudu,4971,663,621,6255
giraffe,4535,535,553,5623
bird,3303,451,426,4180
eland,2871,358,365,3594
rhino,2693,347,356,3396
jackal,2423,315,280,3018
hyaenabrown,2416,291,293,3000
rabbithare,2096,263,270,2629
buffalo,1983,269,249,2501
gemsbock,1914,215,212,2341
duikersteenbok,1596,221,200,2017
nyala,1431,209,208,1848
waterbuck,1361,159,153,1673
hartebeest,1336,159,162,1657
porcupine,1250,132,158,1540
hyaenaspotted,915,122,136,1173
leopard,916,116,119,1151
domesticanimal,870,106,109,1085
reedbuck,789,102,107,998
lion,772,89,120,981
bushbuck,716,109,87,912
africancivet,550,60,72,682
mongoose,390,47,43,480
insect,332,43,37,412
aardvark,306,33,29,368
bushpig,269,25,36,330
hippopotamus,272,32,25,329
honeyBadger,261,33,35,329
klipspringer,219,27,31,277
wilddog,222,28,23,273
wildcat,200,25,19,244
aardwolf,187,29,20,236
genet,167,21,26,214
rodent,121,18,26,165
roansable,129,19,12,160
cheetah,105,14,13,132
caracal,99,19,11,129
serval,95,10,15,120
batEaredFox,64,7,8,79
bat,59,9,9,77
bushbaby,44,7,5,56
reptile,17,0,1,18
otter,13,3,1,17
pangolin,4,0,1,5
polecat,3,1,0,4
MACAQUE,1,1,0,2
